sim_time,nodes,services,generated_traffic_B,average_traffic_Bps
17300,20,900,4950,51.50289017341041
17400,20,905,4950,51.491379310344826
17500,20,910,4950,51.48
17600,20,915,4950,51.46875
17700,20,920,4950,51.45762711864407
17800,20,924,3960,51.391011235955055
17900,20,928,3960,51.32513966480447
18000,20,932,3960,51.26
18100,20,936,3960,51.19558011049724
18200,20,940,3960,51.13186813186813
18300,20,944,3960,51.06885245901639
18400,20,948,3960,51.006521739130434
18500,20,952,3960,50.94486486486486
18600,20,955,2970,50.83064516129032
18700,20,958,2970,50.71764705882353
18800,20,961,2970,50.60585106382979
18900,20,964,2970,50.49523809523809
19000,20,967,2970,50.38578947368421
19100,20,970,2970,50.27748691099477
19200,20,973,2970,50.1703125
19300,20,976,2970,50.064248704663214
19400,20,978,1980,49.90824742268041
19500,20,980,1980,49.753846153846155
19600,20,982,1980,49.601020408163265
19700,20,984,1980,49.4497461928934
19800,20,986,1980,49.3
19900,20,988,1980,49.15175879396985
20000,20,990,1980,49.005
20100,20,992,1980,48.85970149253731
20200,20,993,990,48.66683168316832
20300,20,994,990,48.47586206896552
20400,20,995,990,48.286764705882355
20500,20,996,990,48.09951219512195
20600,20,997,990,47.914077669902916
20700,20,998,990,47.7304347826087
20800,20,999,1980,47.59615384615385
20900,20,1000,1980,47.463157894736845
21000,20,1000,990,47.284285714285716
21100,20,1000,990,47.107109004739335
21200,20,1000,990,46.931603773584904
21300,20,1000,990,46.75774647887324
21400,20,1000,990,46.58551401869159
21500,20,1000,990,46.414883720930234
21600,20,1000,1980,46.291666666666664
21700,20,1000,1980,46.16958525345622
21800,20,1000,1980,46.04862385321101
21900,20,1000,1980,45.92876712328767
22000,20,1000,1980,45.81
22100,20,1000,1980,45.69230769230769
22200,20,1000,1980,45.575675675675676
22300,20,1000,1980,45.460089686098655
22400,20,1000,2970,45.38973214285714
22500,20,1000,2970,45.32
22600,20,1000,2970,45.25088495575221
22700,20,1000,2970,45.18237885462555
22800,20,1000,2970,45.11447368421052
22900,20,1000,2970,45.0471615720524
23000,20,1000,2970,44.9804347826087
23100,20,1000,2970,44.91428571428571
23200,20,1000,3960,44.891379310344824
23300,20,1000,3960,44.868669527897
23400,20,1000,3960,44.84615384615385
23500,20,1000,3960,44.82382978723404
23600,20,1000,3960,44.80169491525424
23700,20,1000,3960,44.779746835443035
23800,20,1000,3960,44.75798319327731
23900,20,1000,3960,44.73640167364017
24000,20,1000,4950,44.75625
24100,20,1000,4950,44.77593360995851
24200,20,1000,4950,44.79545454545455
24300,20,1000,4950,44.81481481481482
24400,20,1000,4950,44.834016393442624
24500,20,1000,4950,44.85306122448979
24600,20,1000,4950,44.8719512195122
24700,20,1000,4950,44.89068825910931
24800,20,1000,5940,44.94919354838709
24900,20,1000,5940,45.00722891566265
25000,20,1000,5940,45.0648
25100,20,1000,5940,45.12191235059761
25200,20,1000,5940,45.17857142857143
25300,20,1000,5940,45.23478260869565
