sim_time,nodes,services,generated_traffic_B,average_traffic_Bps
800,1,1,990,1.2375
900,1,2,990,2.2
1000,1,3,990,2.97
1100,1,4,990,3.6
1200,1,5,990,4.125
1300,1,6,990,4.569230769230769
1400,1,7,990,4.95
1500,1,8,990,5.28
1600,2,10,1980,6.1875
1700,2,12,1980,6.988235294117647
1800,2,14,1980,7.7
1900,2,16,1980,8.336842105263157
2000,2,18,1980,8.91
2100,2,20,1980,9.428571428571429
2200,2,22,1980,9.9
2300,2,24,1980,10.330434782608696
2400,3,27,2970,11.1375
2500,3,30,2970,11.88
2600,3,33,2970,12.565384615384616
2700,3,36,2970,13.2
2800,3,39,2970,13.789285714285715
2900,3,42,2970,14.337931034482759
3000,3,45,2970,14.85
3100,3,48,2970,15.329032258064515
3200,4,52,3960,16.0875
3300,4,56,3960,16.8
3400,4,60,3960,17.470588235294116
3500,4,64,3960,18.102857142857143
3600,4,68,3960,18.7
3700,4,72,3960,19.264864864864865
3800,4,76,3960,19.8
3900,4,80,3960,20.307692307692307
4000,5,85,4950,21.0375
4100,5,90,4950,21.73170731707317
4200,5,95,4950,22.392857142857142
4300,5,100,4950,23.023255813953487
4400,5,105,4950,23.625
4500,5,110,4950,24.2
4600,5,115,4950,24.75
4700,5,120,4950,25.27659574468085
4800,6,126,5940,25.9875
4900,6,132,5940,26.66938775510204
4948,6,132,990,26.610751818916736
5000,6,138,5940,27.522
5100,6,144,5940,28.147058823529413
5200,6,150,5940,28.748076923076923
5300,6,156,5940,29.326415094339623
5320,6,156,990,29.402255639097746
5400,6,162,5940,30.066666666666666
5404,6,162,990,30.22760917838638
5436,6,162,990,30.2317880794702
5500,6,168,5940,30.96
5600,7,175,6930,31.644642857142856
5700,7,182,6930,32.305263157894736
5703,7,182,990,32.46186217780116
5718,7,182,990,32.5498426023085
5756,7,182,990,32.506949270326615
5800,7,188,5940,33.28448275862069
5848,7,188,990,33.18057455540356
5900,7,194,5940,33.89491525423729
5901,7,194,990,34.05693950177936
6000,7,200,5940,34.485
6014,7,200,990,34.56933821084137
6017,7,200,990,34.716636197440586
6100,7,206,5940,35.218032786885246
6200,7,212,5940,35.60806451612903
6300,7,218,5940,35.98571428571429
6306,7,218,990,36.10846812559467
6313,7,218,990,36.225249485189295
6325,7,218,990,36.31304347826087
6400,8,225,6930,36.9703125
6404,8,225,990,37.10181136789507
6429,8,225,990,37.11152589827345
6500,8,232,6930,37.77230769230769
6515,8,232,990,37.837298541826556
6559,8,232,990,37.734410733343495
6566,8,232,990,37.84495887907402
6600,8,238,5940,38.55
6610,8,238,990,38.64145234493192
6627,8,238,990,38.69171570846537
6633,8,238,990,38.80597014925373
