sim_time,nodes,services,generated_traffic,traffic_per_minute
1,0,0,0,0.0
2,0,0,0,0.0
3,0,0,0,0.0
4,0,0,0,0.0
5,0,0,0,0.0
6,0,0,0,0.0
7,0,0,0,0.0
8,0,0,0,0.0
9,0,0,0,0.0
10,0,0,0,0.0
11,0,0,0,0.0
12,0,0,0,0.0
13,0,0,0,0.0
14,0,0,0,0.0
15,0,0,0,0.0
16,0,0,0,0.0
17,0,0,0,0.0
18,0,0,0,0.0
19,0,0,0,0.0
20,0,0,0,0.0
21,0,0,0,0.0
22,0,0,0,0.0
23,0,0,0,0.0
24,0,0,0,0.0
25,0,0,0,0.0
26,0,0,0,0.0
27,0,0,0,0.0
28,0,0,0,0.0
29,0,0,0,0.0
30,0,0,0,0.0
31,0,0,0,0.0
32,0,0,0,0.0
33,0,0,0,0.0
34,0,0,0,0.0
35,0,0,0,0.0
36,0,0,0,0.0
37,0,0,0,0.0
38,0,0,0,0.0
39,0,0,0,0.0
40,0,0,0,0.0
41,0,0,0,0.0
42,0,0,0,0.0
43,0,0,0,0.0
44,0,0,0,0.0
45,0,0,0,0.0
46,0,0,0,0.0
47,0,0,0,0.0
48,0,0,0,0.0
49,0,0,0,0.0
50,0,0,0,0.0
51,0,0,0,0.0
52,0,0,0,0.0
53,0,0,0,0.0
54,0,0,0,0.0
55,0,0,0,0.0
56,0,0,0,0.0
57,0,0,0,0.0
58,0,0,0,0.0
59,0,0,0,0.0
60,0,0,0,0.0
61,0,0,0,0.0
62,0,0,0,0.0
63,0,0,0,0.0
64,0,0,0,0.0
65,0,0,0,0.0
66,0,0,0,0.0
67,0,0,0,0.0
68,0,0,0,0.0
69,0,0,0,0.0
70,0,0,0,0.0
71,0,0,0,0.0
72,0,0,0,0.0
73,0,0,0,0.0
74,0,0,0,0.0
75,0,0,0,0.0
76,0,0,0,0.0
77,0,0,0,0.0
78,0,0,0,0.0
79,0,0,0,0.0
80,0,0,0,0.0
81,0,0,0,0.0
82,0,0,0,0.0
83,0,0,0,0.0
84,0,0,0,0.0
85,0,0,0,0.0
86,0,0,0,0.0
87,0,0,0,0.0
88,0,0,0,0.0
89,0,0,0,0.0
90,0,0,0,0.0
91,0,0,0,0.0
92,0,0,0,0.0
93,0,0,0,0.0
94,0,0,0,0.0
95,0,0,0,0.0
96,0,0,0,0.0
97,0,0,0,0.0
98,0,0,0,0.0
99,0,0,0,0.0
100,1,1,990,9.9
101,1,1,0,9.801980198019802
102,1,1,0,9.705882352941176
103,1,1,0,9.611650485436893
104,1,1,0,9.51923076923077
105,1,1,0,9.428571428571429
106,1,1,0,9.339622641509434
107,1,1,0,9.25233644859813
108,1,1,0,9.166666666666666
109,1,1,0,9.082568807339449
110,1,2,990,18.0
111,1,2,0,17.83783783783784
112,1,2,0,17.678571428571427
113,1,2,0,17.52212389380531
114,1,2,0,17.36842105263158
115,1,2,0,17.217391304347824
116,1,2,0,17.06896551724138
117,1,2,0,16.923076923076923
118,1,2,0,16.779661016949152
119,1,2,0,16.638655462184875
120,1,3,990,24.75
121,1,3,0,24.545454545454547
122,1,3,0,24.34426229508197
123,1,3,0,24.146341463414632
124,1,3,0,23.951612903225808
125,1,3,0,23.76
126,1,3,0,23.571428571428573
127,1,3,0,23.385826771653544
128,1,3,0,23.203125
129,1,3,0,23.023255813953487
130,1,4,990,30.46153846153846
131,1,4,0,30.229007633587788
132,1,4,0,30.0
133,1,4,0,29.774436090225564
134,1,4,0,29.55223880597015
135,1,4,0,29.333333333333332
136,1,4,0,29.11764705882353
137,1,4,0,28.905109489051096
138,1,4,0,28.695652173913043
139,1,4,0,28.489208633093526
140,1,5,990,35.357142857142854
141,1,5,0,35.1063829787234
142,1,5,0,34.859154929577464
143,1,5,0,34.61538461538461
144,1,5,0,34.375
145,1,5,0,34.13793103448276
146,1,5,0,33.9041095890411
147,1,5,0,33.673469387755105
148,1,5,0,33.445945945945944
149,1,5,0,33.22147651006711
150,1,6,990,39.6
151,1,6,0,39.33774834437086
152,1,6,0,39.078947368421055
153,1,6,0,38.8235294117647
154,1,6,0,38.57142857142857
155,1,6,0,38.32258064516129
156,1,6,0,38.07692307692308
157,1,6,0,37.8343949044586
158,1,6,0,37.59493670886076
159,1,6,0,37.35849056603774
160,1,7,990,43.3125
161,1,7,0,43.04347826086956
162,1,7,0,42.77777777777778
163,1,7,0,42.515337423312886
164,1,7,0,42.25609756097561
165,1,7,0,42.0
166,1,7,0,41.74698795180723
167,1,7,0,41.49700598802395
168,1,7,0,41.25
169,1,7,0,41.005917159763314
170,1,8,990,46.588235294117645
171,1,8,0,46.31578947368421
172,1,8,0,46.04651162790697
173,1,8,0,45.78034682080925
174,1,8,0,45.51724137931034
175,1,8,0,45.25714285714286
176,1,8,0,45.0
177,1,8,0,44.74576271186441
178,1,8,0,44.49438202247191
179,1,8,0,44.245810055865924
180,1,9,990,49.5
181,1,9,0,49.226519337016576
182,1,9,0,48.956043956043956
183,1,9,0,48.68852459016394
184,1,9,0,48.42391304347826
185,1,9,0,48.16216216216216
186,1,9,0,47.903225806451616
187,1,9,0,47.64705882352941
188,1,9,0,47.3936170212766
189,1,9,0,47.142857142857146
190,1,10,990,52.10526315789474
191,1,10,0,51.832460732984295
192,1,10,0,51.5625
193,1,10,0,51.295336787564764
194,1,10,0,51.03092783505155
195,1,10,0,50.76923076923077
196,1,10,0,50.51020408163265
197,1,10,0,50.253807106598984
198,1,10,0,50.0
199,1,10,0,49.74874371859296
200,2,12,1980,59.4
201,2,12,0,59.1044776119403
202,2,12,0,58.81188118811881
203,2,12,0,58.522167487684726
204,2,12,0,58.23529411764706
205,2,12,0,57.951219512195124
206,2,12,0,57.66990291262136
207,2,12,0,57.391304347826086
208,2,12,0,57.11538461538461
209,2,12,0,56.8421052631579
210,2,14,1980,66.0
211,2,14,0,65.68720379146919
212,2,14,0,65.37735849056604
213,2,14,0,65.07042253521126
214,2,14,0,64.76635514018692
215,2,14,0,64.46511627906976
216,2,14,0,64.16666666666667
217,2,14,0,63.87096774193548
218,2,14,0,63.57798165137615
219,2,14,0,63.28767123287671
220,2,16,1980,72.0
221,2,16,0,71.67420814479638
222,2,16,0,71.35135135135135
223,2,16,0,71.03139013452915
224,2,16,0,70.71428571428571
225,2,16,0,70.4
226,2,16,0,70.08849557522124
227,2,16,0,69.77973568281938
228,2,16,0,69.47368421052632
229,2,16,0,69.17030567685589
230,2,18,1980,77.47826086956522
231,2,18,0,77.14285714285714
232,2,18,0,76.8103448275862
233,2,18,0,76.48068669527898
234,2,18,0,76.15384615384616
235,2,18,0,75.82978723404256
236,2,18,0,75.50847457627118
237,2,18,0,75.18987341772151
238,2,18,0,74.87394957983193
239,2,18,0,74.56066945606695
240,2,20,1980,82.5
241,2,20,0,82.15767634854772
242,2,20,0,81.81818181818181
243,2,20,0,81.48148148148148
244,2,20,0,81.14754098360656
245,2,20,0,80.81632653061224
246,2,20,0,80.48780487804878
247,2,20,0,80.16194331983806
248,2,20,0,79.83870967741936
249,2,20,0,79.51807228915662
250,2,22,1980,87.12
251,2,22,0,86.77290836653387
252,2,22,0,86.42857142857143
253,2,22,0,86.08695652173913
254,2,22,0,85.74803149606299
255,2,22,0,85.41176470588235
256,2,22,0,85.078125
257,2,22,0,84.74708171206225
258,2,22,0,84.4186046511628
259,2,22,0,84.0926640926641
260,2,24,1980,91.38461538461539
261,2,24,0,91.03448275862068
262,2,24,0,90.68702290076335
263,2,24,0,90.34220532319392
264,2,24,0,90.0
265,2,24,0,89.66037735849056
266,2,24,0,89.32330827067669
267,2,24,0,88.98876404494382
268,2,24,0,88.65671641791045
269,2,24,0,88.3271375464684
270,2,26,1980,95.33333333333333
271,2,26,0,94.98154981549816
272,2,26,0,94.63235294117646
273,2,26,0,94.28571428571429
274,2,26,0,93.94160583941606
275,2,26,0,93.6
276,2,26,0,93.26086956521739
277,2,26,0,92.92418772563177
278,2,26,0,92.58992805755396
279,2,26,0,92.25806451612904
280,2,28,1980,99.0
281,2,28,0,98.64768683274022
282,2,28,0,98.29787234042553
283,2,28,0,97.95053003533569
284,2,28,0,97.6056338028169
285,2,28,0,97.26315789473684
286,2,28,0,96.92307692307692
287,2,28,0,96.58536585365853
288,2,28,0,96.25
289,2,28,0,95.91695501730104
290,2,30,1980,102.41379310344827
291,2,30,0,102.0618556701031
292,2,30,0,101.71232876712328
293,2,30,0,101.36518771331058
294,2,30,0,101.0204081632653
295,2,30,0,100.67796610169492
296,2,30,0,100.33783783783784
297,2,30,0,100.0
298,2,30,0,99.66442953020135
299,2,30,0,99.33110367892976
300,3,33,2970,108.9
301,3,33,0,108.53820598006645
302,3,33,0,108.17880794701986
303,3,33,0,107.82178217821782
304,3,33,0,107.46710526315789
305,3,33,0,107.11475409836065
306,3,33,0,106.76470588235294
307,3,33,0,106.41693811074919
308,3,33,0,106.07142857142857
309,3,33,0,105.72815533980582
310,3,36,2970,114.96774193548387
311,3,36,0,114.59807073954984
312,3,36,0,114.23076923076923
313,3,36,0,113.86581469648563
314,3,36,0,113.5031847133758
315,3,36,0,113.14285714285714
316,3,36,0,112.78481012658227
317,3,36,0,112.42902208201893
318,3,36,0,112.0754716981132
319,3,36,0,111.72413793103448
320,3,39,2970,120.65625
321,3,39,0,120.2803738317757
322,3,39,0,119.90683229813665
323,3,39,0,119.53560371517028
324,3,39,0,119.16666666666667
325,3,39,0,118.8
326,3,39,0,118.43558282208589
327,3,39,0,118.07339449541284
328,3,39,0,117.71341463414635
329,3,39,0,117.35562310030394
330,3,42,2970,126.0
331,3,42,0,125.61933534743203
332,3,42,0,125.24096385542168
333,3,42,0,124.86486486486487
334,3,42,0,124.49101796407186
335,3,42,0,124.11940298507463
336,3,42,0,123.75
337,3,42,0,123.38278931750742
338,3,42,0,123.01775147928994
339,3,42,0,122.65486725663717
340,3,45,2970,131.02941176470588
341,3,45,0,130.6451612903226
342,3,45,0,130.26315789473685
343,3,45,0,129.88338192419826
344,3,45,0,129.50581395348837
345,3,45,0,129.1304347826087
346,3,45,0,128.757225433526
347,3,45,0,128.38616714697406
348,3,45,0,128.01724137931035
349,3,45,0,127.65042979942693
350,3,48,2970,135.77142857142857
351,3,48,0,135.3846153846154
352,3,48,0,135.0
353,3,48,0,134.61756373937678
354,3,48,0,134.23728813559322
355,3,48,0,133.85915492957747
356,3,48,0,133.48314606741573
357,3,48,0,133.109243697479
358,3,48,0,132.73743016759778
359,3,48,0,132.3676880222841
360,3,51,2970,140.25
361,3,51,0,139.86149584487535
362,3,51,0,139.47513812154696
363,3,51,0,139.0909090909091
364,3,51,0,138.7087912087912
365,3,51,0,138.32876712328766
366,3,51,0,137.95081967213116
367,3,51,0,137.574931880109
368,3,51,0,137.20108695652175
369,3,51,0,136.82926829268294
370,3,54,2970,144.48648648648648
371,3,54,0,144.09703504043128
372,3,54,0,143.70967741935485
373,3,54,0,143.32439678284183
374,3,54,0,142.94117647058823
375,3,54,0,142.56
376,3,54,0,142.18085106382978
377,3,54,0,141.80371352785147
378,3,54,0,141.42857142857142
379,3,54,0,141.05540897097626
380,3,57,2970,148.5
381,3,57,0,148.11023622047244
382,3,57,0,147.72251308900525
383,3,57,0,147.33681462140993
384,3,57,0,146.953125
385,3,57,0,146.57142857142858
386,3,57,0,146.1917098445596
387,3,57,0,145.8139534883721
388,3,57,0,145.43814432989691
389,3,57,0,145.06426735218508
390,3,60,2970,152.30769230769232
391,3,60,0,151.91815856777492
392,3,60,0,151.53061224489795
393,3,60,0,151.14503816793894
394,3,60,0,150.76142131979697
395,3,60,0,150.37974683544303
396,3,60,0,150.0
397,3,60,0,149.62216624685138
398,3,60,0,149.2462311557789
399,3,60,0,148.87218045112783
400,4,64,3960,158.4
401,4,64,0,158.00498753117208
402,4,64,0,157.61194029850745
403,4,64,0,157.22084367245657
404,4,64,0,156.83168316831683
405,4,64,0,156.44444444444446
406,4,64,0,156.0591133004926
407,4,64,0,155.67567567567568
408,4,64,0,155.2941176470588
409,4,64,0,154.91442542787286
410,4,68,3960,164.1951219512195
411,4,68,0,163.79562043795622
412,4,68,0,163.39805825242718
413,4,68,0,163.00242130750604
414,4,68,0,162.6086956521739
415,4,68,0,162.21686746987953
416,4,68,0,161.82692307692307
417,4,68,0,161.4388489208633
418,4,68,0,161.05263157894737
419,4,68,0,160.66825775656324
420,4,72,3960,169.71428571428572
421,4,72,0,169.31116389548694
422,4,72,0,168.90995260663507
423,4,72,0,168.51063829787233
424,4,72,0,168.11320754716982
425,4,72,0,167.71764705882353
426,4,72,0,167.32394366197184
427,4,72,0,166.9320843091335
428,4,72,0,166.54205607476635
429,4,72,0,166.15384615384616
430,4,76,3960,174.97674418604652
431,4,76,0,174.5707656612529
432,4,76,0,174.16666666666666
433,4,76,0,173.76443418013858
434,4,76,0,173.36405529953916
435,4,76,0,172.9655172413793
436,4,76,0,172.56880733944953
437,4,76,0,172.17391304347825
438,4,76,0,171.78082191780823
439,4,76,0,171.38952164009112
440,4,80,3960,180.0
441,4,80,0,179.59183673469389
442,4,80,0,179.18552036199094
443,4,80,0,178.78103837471784
444,4,80,0,178.3783783783784
445,4,80,0,177.97752808988764
446,4,80,0,177.57847533632287
447,4,80,0,177.18120805369128
448,4,80,0,176.78571428571428
449,4,80,0,176.39198218262806
450,4,84,3960,184.8
451,4,84,0,184.390243902439
452,4,84,0,183.98230088495575
453,4,84,0,183.57615894039736
454,4,84,0,183.1718061674009
455,4,84,0,182.76923076923077
456,4,84,0,182.3684210526316
457,4,84,0,181.96936542669584
458,4,84,0,181.57205240174673
459,4,84,0,181.1764705882353
460,4,88,3960,189.3913043478261
461,4,88,0,188.98047722342733
462,4,88,0,188.57142857142858
463,4,88,0,188.16414686825053
464,4,88,0,187.75862068965517
465,4,88,0,187.3548387096774
466,4,88,0,186.95278969957081
467,4,88,0,186.5524625267666
468,4,88,0,186.15384615384616
469,4,88,0,185.75692963752664
470,4,92,3960,193.7872340425532
471,4,92,0,193.37579617834396
472,4,92,0,192.96610169491527
473,4,92,0,192.5581395348837
474,4,92,0,192.15189873417722
475,4,92,0,191.74736842105264
476,4,92,0,191.34453781512605
477,4,92,0,190.9433962264151
478,4,92,0,190.5439330543933
479,4,92,0,190.14613778705638
480,4,96,3960,198.0
481,4,96,0,197.58835758835758
482,4,96,0,197.17842323651453
483,4,96,0,196.77018633540374
484,4,96,0,196.36363636363637
485,4,96,0,195.95876288659792
486,4,96,0,195.55555555555554
487,4,96,0,195.15400410677617
488,4,96,0,194.75409836065575
489,4,96,0,194.35582822085888
